구분,상담 주제,발화 주체,발화 내용,,,,,,,,,,,
,,학생,"제가 그동안 의대를 준비해 왔었어요. 생기부도, 활동도 의대에 맟춰서. 그런데 갈수록 성적이 의대가기에는 부족해서 고민이에요",,,,,,,,,,,
,,선생님,"그동안 의대를 준비하느라 고생이 많았는데, 이제 성적이 조금 부족해서 고민이 많구나.",,,,,,,,,,,
,,학생,저처럼 중간에 진로를 변경하는 학생들이 있나요? 그럼 학종에서 불이익은 없을까요?,,,,,,,,,,,
,,선생님,은서처럼 중간에 진로를 변경하는 것이 당연한 것이지. 어떻게 결정된대로 갈수만 있겠어. 대학 입학사정관들도 다 알아,,,,,,,,,,,
,,학생,그럼 지금부터는 어떻게 하면 좋을까요?,,,,,,,,,,,
,,선생님,"일단 하나씩 선생님과 함께 고민해 보자. 우선 네 성적을 확인해보고, 어떤 활동을 했는지 들여다본 후, 바뀐 진로를 위해서는 어떻게 준비할지 이야기 나눠보자",,,,,,,,,,,
022,자아 탐색,선생님,어서 오렴. 그동안 잘 지냈지? 오늘은 뭘 도와줄까?,,,,,,,,,,,
,,학생,"제가 요새 인기인 반도체나 인공지능, 컴퓨터 관련 학과를 진학가고 싶은데요. 선생님은 어떻게 생각하세요?",,,,,,,,,,,
,,선생님,은서는 네가 지금 말한 그 분야에 대해 얼마나 알고 있는지 이야기해 줄 수 있니?,,,,,,,,,,,
,,학생,"그냥 부모님, 친구들이 그 분야가 좋다고 해서요",,,,,,,,,,,
,,선생님,"은서야 그럼, 그 분야가 아무리 전망이 좋더라도 네게 맞는지도 중요할 것 같은데, 선생님이랑 그 분야에 대해 알아보고, 네 흥미나 적성에 맞는지도 함께 알아볼까?",,,,,,,,,,,
023,자아 탐색,선생님,진로를 결정하는 데 있어 자기 자신을 이해하는 게 중요해요. 자신의 성향을 파악하고 있나요?,,,,,,,,,,,
,,학생,아직 잘 모르겠어요. 제 성격이나 적성이 뭔지 애매해요.,,,,,,,,,,,
,,선생님,그럼 자기 이해를 돕는 검사나 활동을 해본 적이 있나요?,,,,,,,,,,,
,,학생,"성격 유형 검사 같은 걸 해본 적은 있는데, 결과가 다양해서 혼란스러웠어요.",,,,,,,,,,,
,,선생님,"검사 결과를 참고하는 것도 좋지만, 본인의 실제 경험과 함께 생각해보는 게 중요해요. 평소에 어떤 상황에서 기쁨을 느끼나요?",,,,,,,,,,,
,,학생,사람들 앞에서 발표하거나 다른 사람을 도울 때 보람을 느껴요.,,,,,,,,,,,
,,선생님,"그렇다면 사회적 상호작용을 중요하게 여기는 성향이 있네요. 이런 성향을 가진 사람들은 상담, 교육, 혹은 인사 관리 같은 분야에서 두각을 나타낼 수 있어요.",,,,,,,,,,,
,,학생,상담사나 선생님 같은 직업이 저한테 맞을까요?,,,,,,,,,,,
,,선생님,그럴 가능성이 높아요. 이런 성향을 발전시켜 나가는 활동에 참여해보면 자신에게 더 잘 맞는지를 알 수 있을 거예요.,,,,,,,,,,,
,,학생,그럼 그런 활동을 어떻게 시작하면 좋을까요?,,,,,,,,,,,
,,선생님,학교에서 참여할 수 있는 동아리나 봉사활동을 찾아보세요. 혹은 관련된 책을 읽는 것도 좋은 방법이에요.,,,,,,,,,,,
024,자아 탐색,선생님,자기 탐색을 조금 더 해봤나요?,,,,,,,,,,,
,,학생,"네, 봉사활동을 시작해보려고 해요.",,,,,,,,,,,
,,선생님,좋은 생각이에요! 그 경험을 통해 자신이 어떤 상황에서 즐거움을 느끼는지 확인할 수 있을 거예요.,,,,,,,,,,,
,,학생,그런데 봉사활동을 하다 보면 가끔 힘든 일도 있잖아요. 그런 상황은 어떻게 대처해야 할까요?,,,,,,,,,,,
,,선생님,"그렇죠. 봉사활동은 다른 사람을 돕는 일이지만, 때로는 감정적으로 힘들 수도 있어요. 그럴 때는 자신의 한계를 인정하고 쉬는 것도 중요해요.",,,,,,,,,,,
,,학생,그렇군요. 힘들 때는 잠시 물러나서 생각할 시간을 가져야겠어요.,,,,,,,,,,,
,,선생님,맞아요. 스스로를 돌보는 능력도 자기 이해의 중요한 부분이에요.,,,,,,,,,,,
,,학생,그럼 봉사활동을 하면서 제 성향을 더 알아갈 수 있겠네요.,,,,,,,,,,,
,,선생님,맞아요. 경험을 통해 스스로의 강점과 약점을 더 잘 파악할 수 있을 거예요.,,,,,,,,,,,
,,학생,알겠습니다. 이번에 시작하는 봉사활동에 기대가 돼요.,,,,,,,,,,,
,,선생님,응원할게요! 잘 해낼 수 있을 거예요.,,,,,,,,,,,
025,자아 탐색,선생님,"안녕하세요, 병현 학생. 지난번에 진로 심리검사 결과를 받았다고 했는데, 그 결과에 대해 이야기를 나눠볼까요?",,,,,,,,,,,
,,학생,"네, 선생님. 솔직히 말하면 결과를 보고 좀 혼란스러웠어요. 제가 생각했던 것과 다른 부분도 있고, 앞으로 어떻게 해야 할지 막막하기도 해요.",,,,,,,,,,,
,,선생님,"이해돼요. 진로 심리검사는 방향을 제시해주지만, 정답을 주는 건 아니에요. 결과 중 어떤 부분에서 특히 혼란스러웠나요?",,,,,,,,,,,
,,학생,"검사에서는 제가 분석적이고 논리적인 직업에 적성이 맞다고 나왔는데, 저는 그런 분야가 재미없다고 느껴져요. 저는 사람들과 소통하는 게 더 흥미로운데, 그건 결과에서 낮게 나와서요.",,,,,,,,,,,
,,선생님,"병현 학생이 말하는 흥미와 적성은 꼭 일치하지 않을 수 있어요. 흥미는 자신이 무엇을 즐기느냐이고, 적성은 무엇을 잘할 수 있느냐를 의미하거든요. 그래서 흥미와 적성 사이에서 균형을 잡는 게 중요해요. 혹시 자신이 소통을 즐긴다는 점이 진로에서 어떤 의미를 가질 수 있을지 생각해본 적 있나요?",,,,,,,,,,,
,,학생,"음, 사실 사람들과 소통하는 게 재밌고, 도움을 주는 직업을 생각해본 적은 있어요. 그런데 결과에서는 그런 직업이 저랑 안 맞다고 하니까, 제 선택이 틀린 건가 싶어서요.",,,,,,,,,,,
,,선생님,"그렇지 않아요. 검사 결과는 참고 자료일 뿐, 진로를 결정하는 건 병현 학생 본인의 가치관과 흥미예요. 결과에서 분석적 성향이 높게 나왔지만, 사람을 돕거나 소통하는 일을 분석적인 방식으로 접근하는 직업도 많아요. 예를 들어 상담사나 컨설턴트 같은 직업이 그럴 수 있죠.",,,,,,,,,,,
,,학생,"아, 그런 방식도 있겠군요. 그런데 제가 진로를 바꿔도 괜찮을지 걱정돼요. 지금까지는 이과 쪽을 생각했는데, 문과 쪽으로 바꾸는 게 늦지 않을까요?",,,,,,,,,,,
,,선생님,"우선 참고로 이제 본격 도입되는 ‘고교학점제’ 체계에서는 전통적으로 구분되는 문,이과 구분의 벽을 어느정도 허물고 넘나들을 수 있는 융,복합 인재와 그러한 교육과정을 추구하니까 너무 이과에서 문과로 아예 간다 이런 생각은 넣어둬요.",,,,,,,,,,,
,,학생,아 정말요.. 그렇게 말씀하시니 뭔가 안심되요.,,,,,,,,,,,
,,선생님,"진로 변경은 늦었다고 생각하기보다는, 지금이라도 자신에게 맞는 방향을 찾는 게 더 중요해요. 진로는 고정된 게 아니니까요. 중요한 건 본인이 어떤 가치관을 가지고 있고, 무엇을 하고 싶은지 잘 이해하는 거예요. 그 과정을 통해 자신에게 맞는 길을 찾아가는 거죠.",,,,,,,,,,,
,,학생,그런데 아직도 제가 어떤 일을 잘할지 모르겠어요. 자신감도 부족하고요. 정말 이 방향이 맞는지 확신이 안 서요.,,,,,,,,,,,
,,선생님,"그런 불안감은 당연해요. 모두가 자신의 길을 확신하는 건 아니거든요. 자신감을 키우려면 작은 성공을 경험하는 게 중요해요. 우선 자신이 할 수 있는 일부터 도전해보고, 그 과정에서 자신감을 쌓아가면 돼요. 진로는 점차 명확해질 거예요.",,,,,,,,,,,
,,학생,말씀을 들으니 조금 안심이 돼요. 제가 진로를 잘못 선택하지 않았다는 생각이 조금씩 들기 시작해요. 앞으로는 제 흥미와 적성을 좀 더 잘 살펴봐야겠어요.,,,,,,,,,,,
,,선생님,"그렇게 생각하는 것만으로도 큰 발전이에요, 병현 학생. 진로는 완벽하게 정하는 게 아니라, 계속 탐색해 나가는 과정이에요. 앞으로도 고민이 있으면 언제든지 찾아오세요. 함께 고민하면 더 좋은 방향을 찾을 수 있을 거예요.",,,,,,,,,,,
026,자아 탐색,선생님,"안녕하세요, 현승 학생. 진로에 대해 고민이 많다고 들었어요. 오늘은 어떤 이야기를 나눠보고 싶나요?",,,,,,,,,,,
,,학생,"안녕하세요, 선생님. 사실 요즘 너무 불안해요. 제가 뭘 잘하는지도 모르겠고, 미래에 뭘 해야 할지도 막막해요. 검사 결과도 나왔지만, 잘 모르겠어요.",,,,,,,,,,,
,,선생님,검사 결과가 혼란스러웠군요. 결과를 보면서 어떤 부분이 특히 마음에 걸렸나요?,,,,,,,,,,,
,,학생,"검사에서 분석적 성향이 높게 나왔는데, 저는 그런 거 잘하는 것 같지 않아요. 그리고 그쪽이 흥미도 없고요. 그냥 다 어려워 보여요.",,,,,,,,,,,
,,선생님,그럼 혹시 어떤걸 좋아하나요?,,,,,,,,,,,
,,학생,저는 뭔가 아름다운걸 그리고 음악듣고 그런거 좋아해요.,,,,,,,,,,,
,,선생님,아~그렇구나. 좋은데?,,,,,,,,,,,
,,학생,"네, 저희 아버지가 서울대 미대 나오셔서 몬가 디자이너 이런 분야에 있으셔서 어렸을때, 영향을 많이 받은것 같아요.",,,,,,,,,,,
,,선생님,아 ..아버님이 훌륭하시구나. 현승이도 그렇게 멋진 어른으로 자랄거야.,,,,,,,,,,,
,,학생,"헤헤, 네~ 노력해야죠...",,,,,,,,,,,
,,선생님,"현승아, 있잖아. 검사 결과는 참고 자료일 뿐이에요. 분석적 성향이 높다고 해서 꼭 그쪽으로 가야 한다는 건 아니에요. 현승 학생이 흥미를 느끼는 부분은 어떤 건가요?",,,,,,,,,,,
,,학생,"잘 모르겠어요. 그냥 사람들과 이야기하거나, 좀 더 창의적인 일을 하고 싶다는 생각은 들어요. 그런데 그런 일을 잘할 수 있을지 자신도 없고요.",,,,,,,,,,,
,,선생님,"자신감이 부족하다고 느끼는군요. 하지만 흥미를 느끼는 일에서 시작하는 것도 좋아요. 사람들과 소통하고 창의적인 일을 하는 직업들도 많아요. 예를 들어, 마케팅, 미디어, 심리 상담 같은 직업이 있죠.",,,,,,,,,,,
,,학생,"그런 일들이 재밌을 것 같긴 한데, 제가 그걸 잘할 수 있을지 모르겠어요. 성적도 별로고, 다른 사람들처럼 확실한 목표가 없어서 불안해요.",,,,,,,,,,,
,,선생님,"불안감이 큰 것 같아요. 하지만 진로는 완벽하게 정하는 게 아니라, 탐색하면서 찾아가는 과정이에요. 우선 작은 목표를 세우고, 조금씩 도전해보는 건 어때요? 성취 경험을 쌓다 보면 자신감도 생길 거예요.",,,,,,,,,,,
,,학생,작은 목표라… 생각해보면 너무 먼 미래만 생각했던 것 같아요. 조금씩 도전해봐야겠어요.,,,,,,,,,,,
,,선생님,맞아요. 지금부터 천천히 자신을 탐색하는 과정도 중요한 경험이에요. 앞으로도 고민이 있으면 언제든지 이야기하러 와요. 같이 해결해나가요,,,,,,,,,,,
027,자아 탐색,학생,"선생님, 요즘 진로에 대해서 불안한 게 많아서 상담을 받고 싶어요.",,,,,,,,,,,
,,선생님,그래. 어떤 점에서 불안한지 이야기해줄 수 있니?,,,,,,,,,,,
,,학생,사실 처음에는 IT 쪽에 관심이 있어서 그쪽으로 공부를 하고 있었는데요.. 요즘 들어 내가 잘할 수 있을지 모르겠어요. 자신감도 점점 떨어지고 있고요.,,,,,,,,,,,
,,선생님,"IT 쪽에 흥미가 있었지만, 지금은 자신감이 떨어지고 있구나. 혹시 다른 분야에 관심이 생긴 건 아니니?",,,,,,,,,,,
,,학생,"관심이 생긴 건 아닌데, 그냥 내가 이 길을 계속 가는 게 맞는지 의문이 들고 있어요. 제가 이 분야에 맞는 사람인지 잘 모르겠고 그냥 계속 불안해요",,,,,,,,,,,
,,선생님,"그럴 수 있어. 누구나 진로를 결정하면서 불안해지기도 하고, 스스로에 대한 확신이 부족할 때가 많거든. 우리 함께 진로 적응에 대한 고민을 구체적으로 나눠볼까? 네가 불안을 느끼는 원인이 뭔지, 그리고 어떻게 해결할 수 있을지에 대해 얘기해 보면 좋을 거 같아.",,,,,,,,,,,
,,학생,"제가 지금 하고 있는 게 맞는 방향인건지... 계속 이 길로 가야 할지, 가도 될 지 고민이에요.",,,,,,,,,,,
,,선생님,"좋아. 네 흥미와 적성, 그리고 가치관을 얘기해 보면 좋을 거 같아. 혹시 예전에 진로심리검사 같은 걸 해본 적이 있니?",,,,,,,,,,,
,,학생,"네, 학교에서 해봤는데, 결과가 잘 기억이 안 나요. 다시 한 번 검사 결과를 살펴보고 싶긴해요",,,,,,,,,,,
,,선생님,"그럼 검사 결과를 바탕으로 네 흥미와 적성을 다시 살펴보고, 네가 지금 고민하는 부분과 연결해보자. 그런 과정이 불안을 줄이는 데도 도움이 될 거야.",,,,,,,,,,,
,,학생,넵 알겠습니다.,,,,,,,,,,,
028,자아 탐색,학생,"선생님... 요즘 진로 때문에 고민이 많아서 상담을 받고 싶어요. 제가 어떤 길로 가야 할지 전혀 모르겠어요,",,,,,,,,,,,
,,선생님,"그래, 어떤 부분이 특히 고민인지 말해줄 수 있을까? 혹시 진로를 생각할 때 어려운 점이 있니?",,,,,,,,,,,
,,학생,"네. 저는 딱히 흥미 있는 게 뭔지 모르겠어요. 다른 친구들은 다들 자기 적성이나 재능이 뭔지 아는 거 같아서 부러워요. 저는 그냥 뭐든지 평범하게 하는 거 같고, 특별히 잘하는 게 없어요.",,,,,,,,,,,
,,선생님,그런 고민 많이 할 수 있어. 사실 자기 흥미나 적성을 찾아가는 과정은 누구에게나 어렵고 시간이 걸리기도 해. 혹시 지금까지 해본 활동이나 과목 중에서 조금이라도 즐거웠던 게 있었니?,,,,,,,,,,,
,,학생,"음....... 딱히 생각나는 건 없지만, 체육 시간에 하는 운동은 조금 그래도 재미있었어요. 근데 이게 제 진로와도 연관이 되나요?",,,,,,,,,,,
,,선생님,"운동에 흥미가 있었구나. 그게 작은 단서일 수 있어. 흥미나 적성은 이렇게 작은 것부터 시작해서 발견될 수 있거든. 네가 생각하는 성격이나 가치관은 어떤 쪽이니? 혼자 하는 활동을 좋아한다든지, 사람들과 어울리는 걸 좋아한다든지.",,,,,,,,,,,
,,학생,"사람들과 같이 어울리는 건 좋은 거 같은데, 리더 역할을 맡는 건 좀 많이 부담스러워요. 뒤에서 도와주는 게 더 좋은 거 같아요.",,,,,,,,,,,
,,선생님,"그럼 사람들과 함께 일하는 걸 좋아하고, 서포트 역할을 선호하는구나. 이런 성격 또한 진로를 결정하는 데 더 중요한 힌트가 될 수 있어. 네가 좋아하는 활동, 그리고 네 성격이나 적성에 맞는 직업들을 더 탐색해보는 게 어떨까?",,,,,,,,,,,
,,학생,"네, 그게 좋을 거 같아요. 제가 뭘 잘하는지 알게 되면 더 확신이 생길 거 같아요.",,,,,,,,,,,
,,선생님,좋아. 그러면 너의 흥미와 성격에 맞는 직업들을 더 알아보고 상담을 함께 진행하는 걸로 하자.,,,,,,,,,,,
,,학생,네 그렇게할게요. 감사합니다 선생님.,,,,,,,,,,,
029,자아탐색,선생님,상담 신청했다고 들었어요. 어떤 고민이 있나요?,,,,,,,,,,,
,,학생,네... 제가 문과로 진로를 바꾸고 싶은데 고민이 되어서요.,,,,,,,,,,,
,,선생님,진로 변경을 고민하고 있군요. 지금은 이과죠?,,,,,,,,,,,
,,학생,"네. 원래 의대 가려고 했는데, 이제 와서 제가 정말 의사가 되고 싶은 건지 잘 모르겠어요.",,,,,,,,,,,
,,선생님,그렇군요. 혹시 문과로 바꾸고 싶다는 생각은 언제부터 했어요?,,,,,,,,,,,
,,학생,음... 방학 때 인문학 책 읽으면서부터요. 글 쓰는 게 재밌더라구요.,,,,,,,,,,,
,,선생님,그럼 지금은 어떤 진로를 생각하고 있나요?,,,,,,,,,,,
,,학생,아직 잘 모르겠어요. 그냥 글 쓰는 게 생각보다 재밌고 즐거워서 좋은 거 같아요.,,,,,,,,,,,
,,선생님,"진로를 바꾸는 게 불안하기도 하겠어요. 다음 상담에서는 네가 좋아하는 것과 잘하는 것을 찾아보면서, 문과 계열에서 어떤 진로가 있을지 탐색해보는 게 어떨까요?",,,,,,,,,,,
,,학생,네. 좋아요!,,,,,,,,,,,
030,자아탐색,선생님,요즘 어떤 고민을 가지고 있니?,,,,,,,,,,,
,,학생,진로 선택에서 어려움을 가지고 있어요. 아직 내가 뭘 잘하고 좋아하는 건지 잘 모르겠어요.,,,,,,,,,,,
,,선생님,자기 자신에 대해 조금 더 탐구해봐야 될 거 같구나. 네가 좋아하는 것과 잘하는 것을 찾아내는 과정을 함께 해보자.,,,,,,,,,,,
031,자아탐색,선생님,어떤 고민이 있어서 찾아왔어?,,,,,,,,,,,
,,학생,"제가 진로를 정해야 되는데, 뭐가 저한테 잘 맞는건지 모르겠어요.",,,,,,,,,,,
,,선생님,혹시 지금까지 흥미를 느낀 과목이나 활동이 있었어?,,,,,,,,,,,
,,선생님,"딱히 잘하는 건 없고, 그냥 평범하게 공부하고 평범하게 살아왔어요.",,,,,,,,,,,
,,학생,그렇구나. 그럼 자기 자신에 대해 좀 더 탐구해보면 좋을 거 같아. 스스로의 적성을 알아보는 활동을 해보면 어때?,,,,,,,,,,,
,,선생님,"네, 그게 필요할 것 같아요. 제가 뭘 잘하는지부터 알아봐야 할 거 같아요.",,,,,,,,,,,
,,학생,"그래. 그럼, 적성 검사나 흥미 검사를 해보면서 진로 방향을 찾는 것도 좋은 시작일거야.",,,,,,,,,,,
032,자아탐색,학생,선생님 저 고민이 있는데 상담 가능할까요?,,,,,,,,,,,
,,선생님,그럼 당연하지! 어떤 고민인지 이야기 해볼래?,,,,,,,,,,,
,,학생,"정확한 주제가 있는 건 아닌데요, 학교생활을 잘하고 있는 건지 친구들과 잘 어울리고 있는 건 맞는지, 이런저런 걱정이 많아요",,,,,,,,,,,
,,선생님,우리 시간이 좀 걸려도 되니까 하나씩 이야기를 풀어보자. 가장 먼저 떠오르는 걱정거리가 있을까?,,,,,,,,,,,
,,학생,"음.. 일단 친구들은 하고 싶은 것도 있고, 잘하는 것도 많은 데 저는 꿈도 없고 잘하는 게 있는지 모르겠어요.",,,,,,,,,,,
,,선생님,"학교 수업과 관련된 것 말고 평소에 재미나 흥미를 가졌던 것들이 있을까? 게임이나 만화, 유튜브도 괜찮아",,,,,,,,,,,
,,학생,딱히 생각나는 게 없어요. 죄송해요,,,,,,,,,,,
,,선생님,"괜찮아~ OO한텐 고민이고 걱정인데 죄송할 필욘 없어, 대신 선생님이 숙제 하나 줘도 될까?",,,,,,,,,,,
,,학생,어떤거요?,,,,,,,,,,,
,,선생님,"우선 다음 상담 일정을 잡고 그때까지 숙제를 해오면 돼, OO가 평소에 학교에서 재미나 흥미를 느꼈던 수업과 이유 3개랑, 학교 밖에서 재미와 흥미를 느꼈던 3개와 이유를 준비해 올래? 그 사이에 선생님은 OO가 했던 진단 검사 내용들을 좀 찾아볼게",,,,,,,,,,,
,,학생,어렵긴 한데 해볼게요,,,,,,,,,,,
033,자아탐색,선생님,OO아 왜 이렇게 기운이 없어 보여?,,,,,,,,,,,
,,학생,선생님.. 저는 지금까지 부모님이 하란 대로 해왔거든요. 근데 그게 맞는지 모르겠어요.,,,,,,,,,,,
,,선생님,갑자기 그런 생각이 든 걸까?,,,,,,,,,,,
,,학생,갑자기요.. 엄마랑 아빠는 금융경영 쪽을 목표하고 이끌어 주고 계셔요. 근데 저는 사실 금융 경제 경영엔 관심도 재미도 없고요. 멍청해지는 느낌이에요,,,,,,,,,,,
,,선생님,그럼 OO이는 관심있는 진로나 꿈이 있을까?,,,,,,,,,,,
,,학생,"아뇨.. 없어요. 금융경영엔 관심이 없는 건 맞거든요. 그렇다고 확 잘하는 거, 나랑 잘 맞는 거, 되고 싶은 거에 대해 딱 떠오르는 것도 없어요. 사실은 부모님이 정해준 게 맞는 건데 공부가 힘들어서 지쳐서 갑자기 싫어진건 아닌가 싶기도 하고요 ",,,,,,,,,,,
,,선생님,힘들면 여러 가지 생각이 들 수 있을 것 같아. 선생님은 우선 OO이와 부모님이 OO이의 특성을 먼저 알아보면 좋을 것 같거든. 이 고민을 부모님과 이야기는 해 봤을까?,,,,,,,,,,,
,,학생,아뇨.. 걱정하실까봐 티도 안 냈어요,,,,,,,,,,,
,,선생님,음.. OO이 성적이나 활동 준비가 엄청 우수한 편이거든? 오히려 지금 더 분명하게 OO이를 알아가는 시간이 앞으로 진로나 진학에 더 도움이 될 것 같아. 우선 진로심리검사를 통해서 OO이의 가치관이나 적성 등을 함께 파악해 보자. 선생님이 도와줄게. 그리고나서 부무님과도 이야기해보면 좋겠어,,,,,,,,,,,
034,자아탐색,학생,쌤 저 오늘 상담이요,,,,,,,,,,,
,,선생님,그렇지. 오늘 진로 탐색 관련해서 상담을 신청했었지?,,,,,,,,,,,
,,학생,네.. 선생님 저 보컬학원 다니고 있는 것 아시죠? ,,,,,,,,,,,
,,선생님,"응 그럼, 그래서 관련 정보를 좀 찾아놨던 참이거든.",,,,,,,,,,,
,,학생,근데 그만두고 다른 걸 배우거나 공부해야 할까 고민이에요,,,,,,,,,,,
,,선생님,응? 좀 더 자세히 이야기해줄래?,,,,,,,,,,,
,,학생,"하나의 곡이 만들어지는 배경과 과정, 악기에 따라 달라지는 감성을 이해하는 것도 그런 모든 걸 제 목소리에 담는 것도 정말 재밌거든요 진짜 환상적이에요 근데... 저보다 잘하는 사람이 너무 많아서 그만둬야 하는 것 아닐까 싶어요",,,,,,,,,,,
,,선생님,OO이가 진로에 대해 불안감이 생겼나 보네. 무슨 일이 있었던 걸까?,,,,,,,,,,,
,,학생,발표 평가할 때 너무 긴장이 돼요. 혼자 할 때는 너무 잘 표현되는 부분도 선생님이나 친구들 앞에서면 부족함을 느낄 때가 많아요. 이러다 입시 때도 실수하면 어쩌지 하고 안 해도 되는 생각까지 들고요.,,,,,,,,,,,
,,선생님,학원에서는 평가에 관련된 코멘트를 알려주니? OO이 노래의 객관적인 평가도 필요할 것 같아,,,,,,,,,,,
,,학생,학원에서도 요청하면 1:1 상담이 가능해요.,,,,,,,,,,,
,,선생님,그럼 학원 선생님의 상담 내용을 좀 적어올래? 그걸 보고 우리 다시 상담을 진행하면 좋을 것 같아.,,,,,,,,,,,
035,자아 탐색,선생님,"안녕! 그동안 잘 지냈니? 오늘은 상담 시간에 무슨 얘기를 할까?
",,,,,,,,,,,
,,학생,"음... 저번에 진로 수업 시간에 관심 있는 직업을 작성하는 활동이 있었는데요. 그때 적질 못했어요.
",,,,,,,,,,,
,,선생님,그렇구나. 현재 특별히 관심 있는 직업이 없어서 활동에 잘 참여할 수 없었구나.,,,,,,,,,,,
,,학생,네. 여러 직업을 많이 안다고 생각했는데... 딱히 제가 어떤 직업에 관심이 있는지는 모르겠어요.,,,,,,,,,,,
,,선생님,"꼭 직업은 아니더라도, 앞으로 하고 싶은 일이나, 잘하고 좋아하는 활동 같은 건 없을까?
",,,,,,,,,,,
,,학생,"...잘 모르겠어요. 그냥 별로 생각이 없어요.
",,,,,,,,,,,
,,선생님,"OO이의 평상시 생각이나 흥미, 적성 같은 것을 좀 더 자세히 살펴보는 시간이 필요할 것 같아.
",,,,,,,,,,,
,,학생,"어떻게 그걸 알 수 있죠?
",,,,,,,,,,,
,,선생님,"아는 만큼 보인다고, 성격이나 흥미, 적성 검사를 해 보고 나를 진단해 볼 수 있지. 그리고 관련 직업에 대해서 구체적으로 살펴보는 것도 도움이 될 거야.
",,,,,,,,,,,
,,학생,"...찾아 봐도 모를 것 같은데.
",,,,,,,,,,,
,,선생님,"해 보기 전엔 모르지. 오늘 선생님이랑 OO이의 흥미와 적성부터 잘 알아보자.
",,,,,,,,,,,
036,자아 탐색,선생님,"안녕! 왜 그렇게 힘이 없어? 얼굴에 힘들다고 써 있네. 요즘 진로 고민이 많니?
",,,,,,,,,,,
,,학생,아뇨... 별로...,,,,,,,,,,,
,,선생님,OO이가 오늘 상담하러 온 이유가 뭘까? 분명 선생님과 이야기하고 싶은 것이 있었을 거야.,,,,,,,,,,,
,,학생,"그게요... 제가 의대에 진학할 수 있을지 모르겠어요. 성적도 더 이상 안 오르고, 괜히 내게 맞지 않게 목표를 높게 잡았던 건가 싶기도 하고요...",,,,,,,,,,,
,,선생님,OO이가 많이 지쳤나 보구나.,,,,,,,,,,,
,,학생,의대 희망하는 친구들 중에 저보다 뛰어난 친구들이 너무 많아요. 대입 생각만 하면 가슴이 뛰면서 한숨이 나오고요.,,,,,,,,,,,
,,선생님,"OO이가 불안하고 힘든 이유를 잘 생각해 보고, 오늘 온 김에 허심탄회하게 이야기해 보자. 훨씬 마음이 편해질 거야.",,,,,,,,,,,
037,자아 탐색,학생,저는 뭘하면 좋을지 모르겠어요,,,,,,,,,,,
,,선생님,00이는 앞으로 뭘 할지 명확하게 정하지 못해서 고민이 많은거 같아. 혹시 특별히 좋아하는 건 있을까?,,,,,,,,,,,
,,학생,음 특별히는 없는데 수업시간에 내용 정리하고 알아보기 쉽게 정리하는 건 괜찮아요.,,,,,,,,,,,
,,선생님,그렇구나 혹시 가장 좋아하거나 제일 관심있는 과목은 있어?,,,,,,,,,,,
,,학생,저는 역사도 괜찮고 지리도 괜찮아요. 역사는 시간대별로 정리하고 사건미 어떻게 영향을 받는지 확인하는 것도 재밌고 지리는 뭔가 해석하는게 재밌는것 같아요,,,,,,,,,,,
,,선생님,00이는 사회분야에 관심이 많구나. 공부도 딱 명확하게 정리하는 스타일인 것 같네. 혹시 사회 관련된 학과는 생각해본 적이 있을까?,,,,,,,,,,,
,,학생,음 딱히 되고 싶은 직업은 없는데 그런 분야로 가면 나쁘지 않을 것 같긴 해요.,,,,,,,,,,,
,,선생님,그렇구나. 그럼 선생님 생각엔 우선 진단검사를 활용해서 00이가 어떤 사람인지 강점은 뭔지 한번 확인해보면 학과나 대학을 어디로 갈지 정하는 데 도움이 될 것 같아.,,,,,,,,,,,
,,학생,네 그럼 그렇게 할게요.,,,,,,,,,,,
,,선생님,그래 검사는 길게 안걸리니까 하나씩 명확하게 찾아가보자.,,,,,,,,,,,
038,자아 탐색,학생,쌤 저 계속 꿈이 선생님이었는데 전망이 별로 안 좋은 것 같아서 걱정돼요.,,,,,,,,,,,
,,선생님,"하고 싶은 직업이 전망이 안 좋아보여서 걱정이구나. 00이는 유치원이나 초등, 중고등중에 어떤 쪽으로 생각하고 있니?",,,,,,,,,,,
,,학생,저는 유치원 선생님이 되려구요.,,,,,,,,,,,
,,선생님,그렇구나. 00이가 유치원 선생님이 되고 싶은 이유가 뭔지 물어봐도 될까?,,,,,,,,,,,
,,학생,저는 뭔가 어떤 과목을 가르치는 것보다 애기들을 좋아하기도 하고 돌봐주는 게 잘 맞는 것 같아요.,,,,,,,,,,,
,,선생님,00이는 자신이 좋아하는 게 뭔지 확실히 알고 있는 것 같아. 선생님이 유치원 선생님이랑 관련된 직업 정보를 준비해서 상담을 하면 고민 해결에 도움을 줄 수 있을 것 같은데 어떄?,,,,,,,,,,,
,,학생,좋아요. ,,,,,,,,,,,
,,선생님,그래. 상담하면서 더 자세히 이야기 해보자,,,,,,,,,,,
039,자아 탐색,학생,선생님 저 진짜 어떤걸 해야할 지 모르겠어요. 대학은 가야하는데 아직 정한게 하나도 없어요,,,,,,,,,,,
,,선생님,00이가 대학 관련해서 걱정이 많구나. 평소에 좋아하거나 관심이 있다 싶은게 있을까?,,,,,,,,,,,
,,학생,그냥 모르겠어요. 딱히 관심있는 것도 없고 그냥 공부만해요.,,,,,,,,,,,
,,선생님,공부 외에 가장 자주 하는 것들은 있어?,,,,,,,,,,,
